Unnamed: 0,Date,Price,value,value_classification
0,2018-02-01,9039.86507510228,30,Fear
1,2018-02-02,8786.0773798948,15,Extreme Fear
2,2018-02-03,9132.10032232613,40,Fear
3,2018-02-04,8250.52689596727,24,Extreme Fear
4,2018-02-05,6849.54255932203,11,Extreme Fear
5,2018-02-06,7738.64395967271,8,Extreme Fear
6,2018-02-07,7624.59538953828,36,Fear
7,2018-02-08,8218.58085184103,30,Fear
8,2018-02-09,8660.45346785505,44,Fear
9,2018-02-10,8530.29280479252,54,Neutral
10,2018-02-11,8096.72848129749,31,Fear
11,2018-02-12,8907.67017913501,42,Fear
12,2018-02-13,8523.96693191116,35,Fear
13,2018-02-14,9467.3010327294,55,Greed
14,2018-02-15,10106.7330835769,71,Greed
15,2018-02-16,10189.3164833431,67,Greed
16,2018-02-17,11085.5984143776,74,Greed
17,2018-02-18,10452.0919772063,63,Greed
18,2018-02-19,11139.3557305669,67,Greed
19,2018-02-20,11245.9323179427,74,Greed
20,2018-02-21,10458.8650888369,54,Neutral
21,2018-02-22,9878.15894272355,44,Fear
22,2018-02-23,10159.0656125073,39,Fear
23,2018-02-24,9686.60177995325,31,Fear
24,2018-02-25,9603.22747749854,33,Fear
25,2018-02-26,10312.3657130333,37,Fear
26,2018-02-27,10654.1072948568,44,Fear
27,2018-02-28,10307.0249663939,41,Fear
28,2018-03-01,10923.6308617767,38,Fear
29,2018-03-02,11014.0584672706,47,Neutral
30,2018-03-03,11425.6805654588,56,Greed
31,2018-03-04,11462.5831975453,44,Fear
32,2018-03-05,11540.6623205728,55,Greed
33,2018-03-06,10677.0352308591,59,Greed
34,2018-03-07,9903.0850490941,37,Fear
35,2018-03-08,9330.47545295149,39,Fear
36,2018-03-09,9278.13918439509,37,Fear
37,2018-03-10,8786.56042314436,39,Fear
38,2018-03-11,9513.53539976622,40,Fear
39,2018-03-12,9147.89018059615,41,Fear
40,2018-03-13,9160.54293278784,41,Fear
41,2018-03-14,8222.12723904149,40,Fear
42,2018-03-15,8268.58912244302,32,Fear
43,2018-03-16,8376.90449824664,33,Fear
44,2018-03-17,7881.66192051432,31,Fear
45,2018-03-18,8189.01671917008,29,Fear
46,2018-03-19,8537.0156233197,29,Fear
47,2018-03-20,8895.54717913501,37,Fear
48,2018-03-21,8879.5942565751,36,Fear
49,2018-03-22,8710.66493512566,36,Fear
50,2018-03-23,8771.74632349503,28,Fear
51,2018-03-24,8610.9885163647,32,Fear
52,2018-03-25,8440.61092255991,30,Fear
53,2018-03-26,8171.18435447107,31,Fear
54,2018-03-27,7837.26531940386,24,Extreme Fear
55,2018-03-28,7933.64272969024,24,Extreme Fear
56,2018-03-29,7108.5708132671,18,Extreme Fear
57,2018-03-30,6832.14906633548,12,Extreme Fear
58,2018-03-31,6922.2812969024,16,Extreme Fear
59,2018-04-01,6804.52487931035,16,Extreme Fear
60,2018-04-02,7033.25960958504,11,Extreme Fear
61,2018-04-03,7420.80051548802,22,Extreme Fear
62,2018-04-04,6780.54360140269,22,Extreme Fear
63,2018-04-05,6798.42261659848,17,Extreme Fear
64,2018-04-06,6610.49234979544,19,Extreme Fear
65,2018-04-07,6886.46947194623,20,Extreme Fear
66,2018-04-08,7009.99610432496,17,Extreme Fear
67,2018-04-09,6736.89282378726,21,Extreme Fear
68,2018-04-10,6816.71861542957,18,Extreme Fear
69,2018-04-11,6944.78585710111,20,Extreme Fear
70,2018-04-12,7904.33027527762,18,Extreme Fear
71,2018-04-13,7919.06469462303,23,Extreme Fear
72,2018-04-17,7887.73795791935,26,Fear
73,2018-04-18,8162.83486177674,24,Extreme Fear
74,2018-04-19,8272.96731589714,25,Extreme Fear
75,2018-04-20,8839.5011320865,26,Fear
76,2018-04-21,8863.54082904734,32,Fear
77,2018-04-22,8800.95908708358,31,Fear
78,2018-04-23,8930.78463354763,28,Fear
79,2018-04-24,9652.21378872005,29,Fear
80,2018-04-25,8855.50893658679,64,Greed
81,2018-04-26,9264.72742694331,47,Neutral
82,2018-04-27,8981.33079018118,55,Greed
83,2018-04-28,9341.82468468732,54,Neutral
84,2018-04-29,9396.99762974869,61,Greed
85,2018-04-30,9228.7264836353,59,Greed
86,2018-05-01,9072.16875745178,56,Greed
87,2018-05-02,9204.12764056108,52,Neutral
88,2018-05-03,9750.70014640561,55,Greed
89,2018-05-04,9696.64290999416,56,Greed
90,2018-05-05,9795.92577206312,63,Greed
91,2018-05-06,9595.08681940386,67,Greed
92,2018-05-07,9339.5108471654,56,Greed
93,2018-05-08,9212.36963471654,62,Greed
94,2018-05-09,9293.04227352425,53,Neutral
95,2018-05-10,9037.53050905903,63,Greed
96,2018-05-11,8419.75858737581,41,Fear
97,2018-05-12,8485.77526680304,44,Fear
98,2018-05-13,8695.83309380479,40,Fear
99,2018-05-14,8671.07417475161,40,Fear
100,2018-05-15,8488.463421391,40,Fear
101,2018-05-16,8327.75620134424,32,Fear
